OBJECTID,GLOBAL_ID,COURSE,TYPE_CODE,DISTHORZ,SYS_ID,SYS_TYPE,REFPT_ID,REFPT_TYPE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Length
11277,DA7BDD22-40A1-4FD2-991E-133314B52AF8,75.35,4,,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,DDFCA0C4-AE03-48FF-B79D-F5677541AE51,2,0,0,1,0,0,0,0.835397006172488
11278,B0C5C4C1-8B85-480C-A1FA-32F706A8C401,65,4,,57BC3644-9950-4CC6-B2F7-ECAF55FC76B8,NAVAID,E3822562-82D4-4E46-BA99-D3AE02C14279,2,0,0,1,0,0,0,0.873420341490885
11279,3B8D887C-532C-46B4-AECB-4DDCA9906E00,124.12,4,49.5,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,800CF5CA-8612-4DE2-BCAE-649BBACE3A21,2,0,0,1,0,0,0,0.915679001356382
11280,A4714513-C0DF-442B-8BD1-A717A4A44FBF,160.85,4,54.15,8953CE9B-8188-49FD-9D9E-C36F26570779,NAVAID,FD5F3B95-4207-459B-9239-874CE9244E5F,2,0,0,1,0,0,0,0.921790879799198
11281,BFBB6321-9C61-4076-94E1-B753C67473FC,29,4,48.34,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,136264A8-7E8D-450C-9B96-AC2D257383F1,2,0,0,1,1,0,0,0.926412402050502
11282,EBB32737-14D6-4B80-9AE0-4E487AEE2BCE,15,4,,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,61B64433-2E21-43DD-B2E2-9C7D544C71A0,2,0,0,1,0,0,0,0.940814405308563
11283,91D6D34F-95F8-4426-BEB3-B3D5273CD146,83,4,,57BC3644-9950-4CC6-B2F7-ECAF55FC76B8,NAVAID,28349222-2E50-4FAC-A76C-DCA6C9A1E00B,2,0,0,1,0,0,0,0.957050534509535
11284,CD6E17C0-CC94-414C-B836-BBC777523467,107,4,48.66,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,CE30377A-2098-49FD-8DA1-BFDBC3B38004,2,0,0,1,0,0,0,0.961750752517519
11285,77B8411D-EB3F-4F43-9D72-69807CAFD494,78,4,,57BC3644-9950-4CC6-B2F7-ECAF55FC76B8,NAVAID,5DD91EF5-F995-4A8D-8820-5C5235A07287,2,0,0,1,0,0,0,1.00611139122119
11286,954881AF-64EB-49D5-A523-C2A7D79F6D2B,101,4,43.1,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,A94E549A-87A9-4D6E-B204-92D8CF8BA3BF,2,0,0,1,0,0,0,1.00861128600668
