OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,APRON_OPER,Shape__Area,Shape__Length
822,TUS,KTUS,UNK,1,2,2.88976684714726e-06,0.014587016042884
823,TUS,KTUS,UNK,1,2,4.67176960228244e-07,0.00387894974155669
824,TUS,KTUS,UNK,1,2,5.65937231498254e-07,0.00642394170236762
825,TUS,KTUS,UNK,1,2,5.64411948289489e-08,0.00110465043468238
826,MIA,KMIA,UNK,1,2,1.02210201725905e-06,0.00449214553907569
827,MIA,KMIA,808 RAMP,1,2,2.50152402259118e-06,0.00816661712802541
828,MIA,KMIA,UNK,1,2,2.98420218314277e-07,0.00228435830245457
829,MIA,KMIA,PENALTY BOX,1,2,7.6371597236796e-07,0.00386870371176266
830,LGB,KLGB,UNK,1,2,4.11904832035154e-06,0.0224797022057212
831,LGB,KLGB,UNK,1,2,6.10208361670646e-07,0.00588535851155122
832,LGB,KLGB,UNK,1,7,2.99180882401551e-07,0.00509849460728589
833,CLT,KCLT,UNK,1,2,1.01507794170175e-07,0.00153366015525653
834,CLT,KCLT,UNK,1,2,2.62665480477153e-07,0.00247509957240017
835,LGB,KLGB,UNK,1,2,1.37246136392988e-05,0.0473200004711175
836,LGB,KLGB,UNK,1,2,4.33783455933145e-07,0.00361640485896431
837,MIA,KMIA,UNK,1,2,1.71634204188973e-06,0.00747656544221962
838,DTW,KDTW,UNK,1,2,5.37657299119754e-06,0.0195719315874927
839,DTW,KDTW,UNK,1,2,1.05296853169026e-06,0.00528020892389758
840,LAX,KLAX,UNK,1,2,4.01830541302273e-06,0.0135190484161261
841,LAX,KLAX,UNK,1,2,1.61055140779354e-06,0.00644713856413154
842,LAX,KLAX,UNK,1,2,1.94357244254206e-06,0.00716350071440967
843,LAX,KLAX,UNK,1,2,4.40998428530293e-06,0.0133555407769229
844,DTW,KDTW,RUN-UP AREA,1,2,1.20599180154779e-06,0.00438160917217598
845,DTW,KDTW,UNK,1,2,7.32970093342278e-06,0.0184213532303001
846,DTW,KDTW,UNK,1,2,2.17624817003964e-08,0.000743891553021688
847,LAX,KLAX,UNK,1,2,2.5214512106686e-05,0.044926601090117
848,LAX,KLAX,ICC,1,2,1.0519155239308e-05,0.0160217379018373
849,DTW,KDTW,UNK,1,2,4.39217386169477e-06,0.00916926706281517
850,DTW,KDTW,UNK,1,2,3.06171432384872e-06,0.0218456303758645
851,ORD,KORD,UNK,1,7,1.48428375723597e-06,0.00782995002002519
852,DTW,KDTW,UNK,1,2,6.72380338073708e-08,0.0014070575218877
853,DTW,KDTW,UNK,1,2,2.16957687371178e-08,0.00081168673168457
854,DTW,KDTW,UNK,1,2,5.22751179232728e-06,0.019653641783014
855,DTW,KDTW,DE-ICE PAD,1,2,3.25490668728889e-06,0.0089085322606856
856,DTW,KDTW,UNK,1,2,4.99871930514928e-08,0.000979774570378459
857,IAD,KIAD,MIDFIELD TERMINAL RAMP,1,2,1.5213002825476e-05,0.0357906449882428
858,DTW,KDTW,UNK,1,2,1.67177796364659e-06,0.0060512792268187
859,DTW,KDTW,UNK,1,2,1.7580659914529e-06,0.00684434366140892
860,IAD,KIAD,CARGO RAMP,1,2,1.28743933835995e-05,0.0240028891218682
861,IAD,KIAD,MIDFIELD TERMINAL RAMP,1,2,1.48550925587188e-05,0.0350110388285785
862,IAD,KIAD,UNK,1,2,1.84262550141645e-07,0.00209469237991771
863,DTW,KDTW,UNK,1,2,2.35327960241422e-06,0.00918961889224938
864,DTW,KDTW,UNK,1,2,1.70376551977824e-07,0.00174371552901427
865,DTW,KDTW,UNK,1,2,7.37432856112719e-07,0.00456796042281772
866,DTW,KDTW,UNK,1,2,4.59047867579221e-06,0.00932422912261124
