OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,TWY_OPER,Shape__Area,Shape__Length
10995,AZO,KAZO,C1,1,2,1.01657161881517e-07,0.00155606444618761
10996,FSM,KFSM,B,1,2,1.4193642527971e-07,0.00176862936149669
10997,FSM,KFSM,D,1,2,1.42967426262214e-07,0.00189469287893103
10998,FSM,KFSM,A,1,2,1.57608111858807e-07,0.00192154135853422
10999,FSM,KFSM,A_D,1,2,9.27567295735954e-07,0.00487147481810868
11000,FSM,KFSM,E,1,2,2.24795803143926e-07,0.00240100106777691
11001,FSM,KFSM,A_E,1,2,4.01338342441437e-07,0.002884444942886
11002,FSM,KFSM,A,1,2,4.07203140408152e-07,0.0041865272626022
11003,FSM,KFSM,F,1,2,1.65160853580343e-07,0.0022847850408515
11004,FSM,KFSM,A_F,1,2,3.04609668176636e-07,0.00249925645216851
11005,FSM,KFSM,A,1,2,6.15069211562513e-07,0.00618220554427736
11006,FSM,KFSM,A,1,2,1.77158004561178e-07,0.00212663772560921
11007,FSM,KFSM,A,1,2,2.69371467902235e-07,0.00237764344568277
11008,PLN,KPLN,UNK,1,2,1.08762683911218e-08,0.000525810902748573
11009,PLN,KPLN,UNK,1,2,9.04924490896519e-09,0.000409530167427858
11010,PLN,KPLN,UNK,1,2,1.087028067559e-08,0.000434564149344663
11011,PLN,KPLN,UNK,1,2,1.58024704433046e-08,0.000523364279195929
11012,PLN,KPLN,UNK,1,2,5.33286311464598e-09,0.000319314721985252
11013,PLN,KPLN,UNK,1,2,6.71522376732847e-08,0.00111341560718306
11014,PLN,KPLN,B,1,2,6.37170886468334e-08,0.00108086762282736
11015,GFL,KGFL,E,1,2,2.4338177813648e-07,0.00394582884995629
11016,GFL,KGFL,E,1,2,4.74102006290875e-08,0.00100575764179787
11017,GFL,KGFL,E,1,2,5.54886318434276e-08,0.00107604051515349
11018,GFL,KGFL,E,1,2,6.45941327093169e-08,0.00141564906261307
11019,GFL,KGFL,E,1,2,7.48403204183651e-08,0.00163973353551128
11020,GFL,KGFL,E,1,2,9.30643321902375e-08,0.00218344439914915
11021,GFL,KGFL,UNK,1,2,4.69115093437722e-08,0.000949211744237706
11022,GFL,KGFL,UNK,1,2,9.73414617869151e-08,0.00230080532985845
11023,AZO,KAZO,C_C1,1,2,1.81570428109401e-07,0.00197818995230381
11024,AZO,KAZO,A_C,1,2,1.55905256052358e-07,0.00178239858560084
11025,AZO,KAZO,C,1,2,4.3450616248053e-07,0.0056589309326459
11026,AZO,KAZO,C_E,1,2,1.63359456566148e-07,0.00189118388112355
11027,AZO,KAZO,A,1,2,4.92616436531534e-08,0.000939928607617005
11028,AZO,KAZO,E,1,2,5.99072791374056e-08,0.00102391166137064
11029,AZO,KAZO,E,1,2,1.11347722188404e-07,0.0019017520411791
11030,AZO,KAZO,E,1,2,1.44499836096657e-07,0.00209217215244189
11031,FSM,KFSM,E,1,2,1.14825904245011e-07,0.00192764321174706
